Invoice_ID;InvoiceNo;InvoiceDate;Customer_ID;Payment_Method;Operation
1;539730;12/21/2010;1;4;Sale
2;552969;5/12/2011;1;4;Sale
3;577382;11/18/2011;1;1;Sale
4;580363;12/2/2011;1;4;Sale
5;550837;4/20/2011;2;4;Sale
6;579768;11/30/2011;3;1;Sale
7;C553665;5/16/2011;4;3;Return
8;C557947;6/21/2011;4;2;Return
9;C577164;11/15/2011;4;1;Return
10;567972;9/22/2011;5;1;Sale
11;575586;11/9/2011;6;2;Sale
12;546980;3/18/2011;8;2;Sale
13;C564751;8/24/2011;8;3;Return
14;557117;6/16/2011;9;3;Sale
15;557251;6/17/2011;9;4;Sale
16;575924;11/11/2011;9;1;Sale
17;C570828;10/10/2011;9;4;Return
18;545702;3/6/2011;10;1;Sale
19;554284;5/23/2011;10;1;Sale
20;575211;11/8/2011;11;2;Sale
21;551287;4/27/2011;12;3;Sale
22;560555;7/19/2011;12;4;Sale
23;571292;10/14/2011;12;3;Sale
24;C579757;11/24/2011;12;4;Return
25;557631;6/21/2011;13;1;Sale
26;557744;6/21/2011;13;2;Sale
27;561030;7/22/2011;13;3;Sale
28;561701;7/28/2011;14;3;Sale
29;C538876;12/14/2010;14;3;Return
30;C551674;4/26/2011;14;2;Return
31;C547855;3/21/2011;15;3;Return
32;539351;12/17/2010;16;4;Sale
33;547397;3/22/2011;16;3;Sale
34;555103;5/31/2011;17;2;Sale
35;566207;9/9/2011;17;4;Sale
36;C577345;11/16/2011;17;3;Return
37;555721;6/6/2011;18;2;Sale
38;568402;9/26/2011;18;1;Sale
39;543352;2/7/2011;19;4;Sale
40;562733;8/8/2011;19;4;Sale
41;578849;11/25/2011;19;3;Sale
42;C567713;9/19/2011;19;3;Return
43;539421;12/17/2010;20;4;Sale
44;553897;5/19/2011;20;1;Sale
45;563188;8/12/2011;20;3;Sale
46;573916;11/1/2011;20;4;Sale
47;C580773;12/2/2011;20;2;Return
48;569550;10/4/2011;22;4;Sale
49;545869;3/7/2011;23;4;Sale
50;557852;6/22/2011;23;4;Sale
51;564510;8/25/2011;23;1;Sale
52;C576670;11/13/2011;23;2;Return
53;537242;12/6/2010;24;3;Sale
54;548165;3/29/2011;24;3;Sale
55;551845;5/4/2011;24;2;Sale
56;560328;7/17/2011;24;4;Sale
57;567344;9/19/2011;24;4;Sale
58;537881;12/9/2010;25;4;Sale
59;553462;5/16/2011;26;3;Sale
60;545064;2/27/2011;27;4;Sale
61;565387;9/2/2011;27;1;Sale
62;C543353;1/31/2011;27;2;Return
63;545054;2/27/2011;31;4;Sale
64;561534;7/27/2011;32;3;Sale
65;561697;7/28/2011;32;2;Sale
66;560927;7/21/2011;33;4;Sale
67;571556;10/17/2011;34;4;Sale
68;547945;3/28/2011;35;4;Sale
69;554261;5/22/2011;35;1;Sale
70;559784;7/11/2011;35;3;Sale
71;561601;7/27/2011;36;1;Sale
72;575517;11/9/2011;36;2;Sale
73;544326;2/17/2011;37;3;Sale
74;C566748;9/9/2011;37;2;Return
75;C578832;11/22/2011;37;3;Return
76;564841;8/28/2011;38;1;Sale
77;566264;9/11/2011;38;3;Sale
78;C541573;1/12/2011;38;3;Return
79;C561211;7/20/2011;38;4;Return
80;565243;9/1/2011;39;2;Sale
81;569734;10/5/2011;39;2;Sale
82;C575666;11/8/2011;39;4;Return
83;546480;3/13/2011;40;3;Sale
84;C564949;8/25/2011;41;3;Return
85;567158;9/16/2011;43;3;Sale
86;537369;12/6/2010;44;1;Sale
87;537693;12/8/2010;44;2;Sale
88;542106;1/25/2011;44;3;Sale
89;565593;9/5/2011;44;1;Sale
